date,ticker,action,quantity,price,amount
2025-08-15,,Deposit,,,2500.0
2025-08-15,,Fee,,,-4.99
2025-08-15,AAPL,Buy,20,193.85,-3877.09
2025-08-15,MSFT,Buy,100,412.0,-41200.5
2025-08-15,MSFT,Sell,100,412.0,41200.5
2025-08-15,NVDA,Buy,10,938.93,-9389.34
2025-08-19,MSFT,Buy,100,415.73,-41572.84
2025-08-19,NVDA,Buy,20,934.89,-18697.73
2025-08-19,NVDA,Sell,10,934.89,9348.86
2025-08-20,AAPL,Sell,10,189.05,1890.49
2025-08-20,MSFT,Buy,100,417.1,-41709.76
2025-08-20,NVDA,Sell,20,947.85,18956.96
2025-08-20,NVDA,Sell Short,50,947.85,47392.41
2025-08-21,MSFT,Sell,50,427.25,21362.67
2025-08-21,TSLA,Buy,75,240.65,-18048.71
2025-08-21,TSLA,Sell,75,240.65,18048.71
2025-08-22,TSLA,Buy,75,226.88,-17016.19
2025-08-22,TSLA,Sell,75,226.88,17016.19
2025-08-26,,Fee,,,-4.99
2025-08-26,MSFT,Buy,20,444.64,-8892.83
2025-08-26,TSLA,Buy,50,225.47,-11273.38
2025-08-26,TSLA,Sell,50,225.47,11273.38
2025-08-27,MSFT,Buy,100,440.62,-44062.47
2025-08-27,MSFT,Sell,50,440.62,22031.24
2025-08-28,MSFT,Buy,10,442.05,-4420.49
2025-08-28,MSFT,Sell,100,442.05,44204.92
2025-08-28,NVDA,Buy to Cover,50,942.73,-47136.32
2025-08-29,,Deposit,,,1500.0
2025-08-29,TSLA,Buy,100,242.13,-24213.1
2025-09-02,MSFT,Buy,75,451.92,-33893.79
2025-09-02,MSFT,Sell,20,451.92,9038.34
2025-09-03,AAPL,Sell,10,184.77,1847.66
2025-09-03,AAPL,Sell Short,10,184.77,1847.66
2025-09-03,NVDA,Buy,10,844.74,-8447.42
2025-09-04,,Fee,,,-9.99
2025-09-05,,Withdrawal,,,-1200.0
2025-09-05,AMD,Buy,10,138.54,-1385.38
2025-09-05,AMD,Sell,10,138.54,1385.38
2025-09-08,MSFT,Sell,100,451.94,45193.59
2025-09-08,TSLA,Buy,100,245.7,-24569.78
2025-09-08,TSLA,Sell,100,245.7,24569.78
2025-09-09,TSLA,Buy,100,253.66,-25366.38
2025-09-11,NVDA,Buy,10,921.99,-9219.87
2025-09-12,,Deposit,,,2500.0
2025-09-12,MSFT,Buy,50,450.0,-22499.77
2025-09-12,MSFT,Sell,10,450.0,4499.95
2025-09-12,TSLA,Sell,100,261.63,26163.18
2025-09-15,,Fee,,,-4.99
2025-09-15,NVDA,Buy,75,963.81,-72285.73
2025-09-16,AAPL,Buy,10,184.97,-1849.71
2025-09-16,TSLA,Sell,50,269.59,13479.58
2025-09-16,TSLA,Sell Short,50,269.59,13479.58
2025-09-17,AAPL,Sell,10,185.38,1853.77
2025-09-17,AMD,Sell Short,10,138.08,1380.77
2025-09-17,NVDA,Buy to Cover,75,971.57,-72868.03
2025-09-17,NVDA,Sell Short,75,971.57,72868.03
2025-09-18,MSFT,Sell,75,459.51,34463.46
2025-09-19,TSLA,Buy,100,273.4,-27340.1
2025-09-19,TSLA,Sell,25,273.4,6835.02
2025-09-23,MSFT,Buy,75,455.08,-34131.3
2025-09-23,TSLA,Buy,100,260.82,-26082.4
2025-09-24,,Fee,,,-6.99
2025-09-24,AMD,Buy to Cover,10,133.75,-1337.54
2025-09-24,MSFT,Buy,10,448.96,-4489.57
2025-09-25,,Interest,,,8.25
2025-09-25,AAPL,Sell Short,20,178.14,3562.9
2025-09-25,AMD,Buy,75,130.06,-9754.19
2025-09-25,NVDA,Buy,50,961.27,-48063.53
