trade_id,user_id,trade_date,trade_time,ticker,side,qty,entry_price,exit_price,fees,realized_pnl,strategy,hold_time_sec,note,mood,manual_tags,screenshot_url,ft_outcome,ft_notional,ft_size_z,ft_prev_outcome_day,ft_same_ticker_as_prev_day,ft_immediate_after_prev,ft_day_trades_count,ft_day_pnl,ft_large_win,ft_large_loss
1,demo_user,2024-10-09,,AAPL,long,26.0,184.89,156.49,0.0,-738.3999999999994,,,,,,,loss,4807.139999999999,0.9429412412870456,,False,False,3,-1203.0099999999989,False,True
2,demo_user,2024-10-09,,MSFT,short,6.0,319.85,332.71,0.0,-77.15999999999974,,,,,,,loss,1919.1000000000001,-0.25928199151857656,loss,False,True,3,-1203.0099999999989,False,False
3,demo_user,2024-10-09,,MSFT,short,15.0,319.85,345.68,0.0,-387.44999999999976,,,,,,,loss,4797.75,0.9390324047903059,loss,True,True,3,-1203.0099999999989,False,True
4,demo_user,2024-10-17,,AAPL,long,3.0,184.89,177.37,0.0,-22.559999999999945,,,,,,,loss,554.67,-0.8272621599154739,,False,False,6,-684.0900000000006,False,False
5,demo_user,2024-10-17,,AAPL,long,12.0,175.81,177.37,0.0,18.720000000000027,,,,,,,win,2109.7200000000003,-0.17993136180520422,loss,True,True,6,-684.0900000000006,False,False
6,demo_user,2024-10-17,,AAPL,short,5.0,177.37,170.81,0.0,32.80000000000001,,,,,,,win,886.85,-0.6889834264237732,win,True,True,6,-684.0900000000006,False,False
7,demo_user,2024-10-17,,MSFT,long,2.0,345.68,327.33,0.0,-36.700000000000045,,,,,,,loss,691.36,-0.7703613227760296,win,False,True,6,-684.0900000000006,False,False
8,demo_user,2024-10-17,,MSFT,long,12.0,372.23,327.33,0.0,-538.8000000000004,,,,,,,loss,4466.76,0.8012490403541025,loss,True,True,6,-684.0900000000006,False,True
9,demo_user,2024-10-17,,MSFT,long,15.0,336.5,327.33,0.0,-137.55000000000024,,,,,,,loss,5047.5,1.0429974649671747,loss,True,True,6,-684.0900000000006,False,False
10,demo_user,2024-10-21,,AMZN,long,10.0,138.24,130.7,0.0,-75.4000000000002,,,,,,,loss,1382.4,-0.4826975983130731,,False,False,2,-6.760000000000218,False,False
11,demo_user,2024-10-21,,META,short,6.0,302.52,291.08,0.0,68.63999999999999,,,,,,,win,1815.12,-0.30256642377960097,loss,False,True,2,-6.760000000000218,False,False
12,demo_user,2024-10-22,,AMZN,short,12.0,130.7,144.61,0.0,-166.9200000000003,,,,,,,loss,1568.3999999999999,-0.40527016610927896,,False,False,9,193.88999999999925,False,False
13,demo_user,2024-10-22,,META,short,8.0,302.52,312.66,0.0,-81.12000000000035,,,,,,,loss,2420.16,-0.050702479797968526,loss,False,True,9,193.88999999999925,False,False
14,demo_user,2024-10-22,,META,short,10.0,302.52,293.76,0.0,87.59999999999991,,,,,,,win,3025.2,0.2011614641836639,loss,True,True,9,193.88999999999925,False,False
15,demo_user,2024-10-22,,META,short,2.0,302.82,293.76,0.0,18.120000000000005,,,,,,,win,605.64,-0.806044545832531,win,True,True,9,193.88999999999925,False,False
16,demo_user,2024-10-22,,META,short,1.0,307.46,293.76,0.0,13.699999999999989,,,,,,,win,307.46,-0.930169877738592,win,True,True,9,193.88999999999925,False,False
17,demo_user,2024-10-22,,MSFT,long,1.0,336.5,329.28,0.0,-7.220000000000027,,,,,,,loss,336.5,-0.9180812076783867,win,False,True,9,193.88999999999925,False,False
18,demo_user,2024-10-22,,NVDA,long,19.0,497.63,511.52,0.0,263.90999999999974,,,,,,,win,9454.97,2.877723726339523,loss,False,True,9,193.88999999999925,False,False
19,demo_user,2024-10-22,,NVDA,long,2.0,476.78,511.52,0.0,69.48000000000002,,,,,,,win,953.56,-0.6612136199597134,win,True,True,9,193.88999999999925,False,False
20,demo_user,2024-10-22,,NVDA,long,6.0,476.78,476.17,0.0,-3.659999999999741,,,,,,,loss,2860.68,0.13267565156985628,win,True,True,9,193.88999999999925,False,False
21,demo_user,2024-10-23,,AAPL,long,23.0,170.81,188.38,0.0,404.10999999999984,,,,,,,win,3928.63,0.5772381581399747,,False,False,3,424.5599999999995,True,False
22,demo_user,2024-10-23,,AAPL,long,1.0,181.77,188.38,0.0,6.609999999999985,,,,,,,win,181.77,-0.9824916731885646,win,True,True,3,424.5599999999995,False,False
23,demo_user,2024-10-23,,META,short,8.0,307.46,305.73,0.0,13.83999999999969,,,,,,,win,2459.68,-0.034251231837248396,win,False,True,3,424.5599999999995,False,False
24,demo_user,2024-10-25,,META,short,10.0,307.46,320.51,0.0,-130.5000000000001,,,,,,,loss,3074.6,0.22172552413456412,,False,False,3,-336.17000000000024,False,False
25,demo_user,2024-10-25,,MSFT,long,3.0,336.5,315.21,0.0,-63.87000000000006,,,,,,,loss,1009.5,-0.6379271115861637,loss,False,True,3,-336.17000000000024,False,False
26,demo_user,2024-10-25,,MSFT,long,5.0,343.57,315.21,0.0,-141.80000000000007,,,,,,,loss,1717.85,-0.3430576406100475,loss,True,True,3,-336.17000000000024,False,False
27,demo_user,2024-10-29,,AAPL,long,25.0,181.77,192.21,0.0,260.99999999999994,,,,,,,win,4544.25,0.8335063076738445,,False,False,2,283.87999999999994,False,False
28,demo_user,2024-10-29,,AAPL,long,2.0,180.77,192.21,0.0,22.879999999999995,,,,,,,win,361.54,-0.9076576436870802,win,True,True,2,283.87999999999994,False,False
29,demo_user,2024-10-30,,AAPL,long,26.0,180.77,187.06,0.0,163.5399999999998,,,,,,,win,4700.02,0.8983497007619361,,False,False,1,163.5399999999998,False,False
30,demo_user,2024-10-31,,AMZN,long,3.0,144.61,140.64,0.0,-11.910000000000082,,,,,,,loss,433.83000000000004,-0.8775650142569067,,False,False,2,88.60999999999962,False,False
31,demo_user,2024-10-31,,AMZN,long,14.0,133.46,140.64,0.0,100.5199999999997,,,,,,,win,1868.44,-0.2803705598811799,loss,True,True,2,88.60999999999962,False,False
32,demo_user,2024-11-01,,AMZN,long,13.0,133.46,138.51,0.0,65.64999999999978,,,,,,,win,1734.98,-0.33592682386998834,,False,False,7,917.7099999999955,False,False
33,demo_user,2024-11-01,,META,short,12.0,321.45,301.97,0.0,233.75999999999954,,,,,,,win,3857.3999999999996,0.5475867818180591,win,False,True,7,917.7099999999955,False,False
34,demo_user,2024-11-01,,META,short,73.0,317.33,301.97,0.0,1121.2799999999968,,,,,,,win,23165.09,8.584924730672226,win,True,True,7,917.7099999999955,True,False
35,demo_user,2024-11-01,,MSFT,long,3.0,343.57,354.39,0.0,32.45999999999998,,,,,,,win,1030.71,-0.6290978866558278,win,False,True,7,917.7099999999955,False,False
36,demo_user,2024-11-01,,MSFT,long,4.0,333.98,354.39,0.0,81.63999999999987,,,,,,,win,1335.92,-0.5020461308336771,win,True,True,7,917.7099999999955,False,False
37,demo_user,2024-11-01,,NVDA,short,22.0,476.17,508.22,0.0,-705.1000000000003,,,,,,,loss,10475.74,3.30264630682698,win,False,True,7,917.7099999999955,False,True
38,demo_user,2024-11-01,,NVDA,short,6.0,522.89,508.22,0.0,88.01999999999975,,,,,,,win,3137.34,0.2478427128252419,loss,True,True,7,917.7099999999955,False,False
39,demo_user,2024-11-11,,META,short,16.0,317.33,294.2,0.0,370.0799999999999,,,,,,,win,5077.28,1.055394179650126,,False,False,2,552.5699999999999,True,False
40,demo_user,2024-11-11,,META,short,7.0,320.27,294.2,0.0,182.48999999999995,,,,,,,win,2241.89,-0.12491209452361578,win,True,True,2,552.5699999999999,False,False
41,demo_user,2024-11-15,,AAPL,short,108.0,187.06,181.93,0.0,554.0399999999995,,,,,,,win,20202.48,7.351659757977158,,False,False,2,604.4399999999997,True,False
42,demo_user,2024-11-15,,META,long,15.0,294.2,297.56,0.0,50.400000000000205,,,,,,,win,4413.0,0.7788700147881026,win,False,True,2,604.4399999999997,False,False
43,demo_user,2024-11-18,,AAPL,short,17.0,187.06,161.8,0.0,429.41999999999985,,,,,,,win,3180.02,0.265609394580392,,False,False,4,469.2000000000001,True,False
44,demo_user,2024-11-18,,MSFT,long,5.0,333.98,316.04,0.0,-89.69999999999999,,,,,,,loss,1669.9,-0.3630180996109718,win,False,True,4,469.2000000000001,False,False
45,demo_user,2024-11-18,,MSFT,long,12.0,328.15,316.04,0.0,-145.31999999999948,,,,,,,loss,3937.7999999999997,0.581055413802925,loss,True,True,4,469.2000000000001,False,False
